B365H,B365D,B365A
2.1,3.2,3.1
1.44,3.6,6.5
2.3,3.2,2.62
2.0,3.2,3.2
1.61,3.5,4.5
2.4,3.25,2.5
1.33,4.0,8.0
3.75,3.0,1.9
1.44,3.6,6.5
1.4,3.75,7.0
2.1,3.0,3.2
5.0,3.5,1.57
7.0,3.8,1.4
2.2,3.2,2.8
1.9,3.0,3.7
2.5,3.1,2.5
1.53,3.4,5.5
1.7,3.25,4.33
1.72,3.4,4.0
1.33,3.75,9.0
2.5,3.1,2.5
1.57,3.5,5.0
2.5,3.1,2.5
2.1,3.2,3.0
2.5,3.1,2.5
1.9,3.25,3.4
3.5,3.2,1.9
4.33,3.4,1.66
3.2,3.2,2.0
1.4,3.75,7.0
1.2,5.5,9.0
2.1,3.2,3.0
1.66,3.4,4.33
1.8,3.3,3.75
2.2,3.0,3.0
2.5,3.25,2.4
2.4,3.25,2.5
1.66,3.4,4.33
1.57,3.5,5.0
4.5,3.5,1.61
3.0,3.2,2.1
2.75,3.2,2.25
1.66,3.4,4.33
1.36,3.75,8.0
1.25,4.5,10.0
1.83,3.3,3.6
2.4,3.25,2.5
2.0,3.2,3.2
1.9,3.25,3.4
1.25,4.33,10.5
1.57,3.5,5.0
2.62,3.25,2.3
4.33,3.3,1.7
1.5,3.4,6.0
2.75,3.25,2.2
1.72,3.4,4.0
1.53,3.4,5.5
2.3,3.25,2.62
2.62,3.25,2.3
2.2,3.25,2.75
2.2,3.25,2.75
3.2,3.2,2.0
4.5,3.3,1.66
1.4,3.75,7.0
1.61,3.5,4.5
2.37,3.1,2.62
1.44,3.6,6.5
1.53,3.4,5.5
1.8,3.3,3.75
1.53,3.4,5.5
1.8,3.3,3.75
1.72,3.4,4.0
1.72,3.4,4.0
2.4,3.25,2.5
2.2,3.25,2.75
1.44,3.6,6.5
2.5,2.9,2.62
2.2,3.0,3.0
1.9,3.2,3.5
1.53,3.4,5.5
2.62,3.1,2.37
1.8,3.3,3.75
2.37,3.1,2.62
1.5,3.6,5.5
3.75,3.3,1.8
1.8,3.3,3.75
3.0,3.2,2.1
3.75,3.2,1.83
2.5,3.1,2.5
2.25,3.2,2.75
2.1,3.2,3.0
1.4,3.6,7.5
1.5,3.4,6.0
1.44,3.6,6.5
1.53,3.4,5.5
1.44,3.6,6.5
3.0,3.2,2.1
1.72,3.4,4.0
1.9,3.25,3.4
1.28,4.5,8.0
1.61,3.25,5.0
1.61,3.25,5.0
2.1,3.2,3.0
1.66,3.1,5.0
1.2,5.0,11.0
1.61,3.25,5.0
2.3,3.25,2.62
3.75,3.3,1.8
1.72,3.1,4.5
1.72,3.4,4.0
5.5,3.25,1.57
